"High Priority","Low Priority","Lowest Priority","Medium Priority"
0,1.88949373687546e-240,6.55034563699923e-271,1
0,1.91856073738866e-77,5.34213479041625e-139,1
0,1,7.07753696480316e-70,1.61417949578283e-77
0,1,1.75828494647048e-71,1.88761227438481e-79
9.51290020656161e-194,1.95594269504494e-229,2.85296987041869e-134,1
3.1227189707873e-182,2.68128029375195e-216,3.76432227814393e-128,1
0,1,7.03664633124975e-70,1.59422133115734e-77
0,1.71044930658463e-52,1,2.93358505064193e-80
1,6.8462124863192e-21,1.03855254440799e-20,5.04236420157844e-17
0,1,2.44026502222866e-115,1.31001714661805e-197
0,3.47522132737536e-242,7.74598473108005e-272,1
0,3.47205170085853e-242,7.74220937870766e-272,1
0,3.47205170085853e-242,7.74220937870766e-272,1
0,3.47564007073928e-242,7.7464833777058e-272,1
0,0,0,1
0,0,0,1
0,1,1.69216907134195e-233,0
0,1,7.3857946446472e-70,1.62583584766416e-77
0,1,9.61584093678787e-70,3.11711176529932e-77
0,0,0,1
0,1,6.62659385003823e-70,1.36002066180086e-77
0,0,0,1
0,3.47205170085853e-242,7.74220937870766e-272,1
0,3.47507335317423e-242,7.74580851422698e-272,1
0,1.59980073146319e-227,2.47473860404378e-255,1
0,1.33128677660596e-245,1.98261476832156e-273,1
5.66672907829653e-49,3.5643136437389e-31,2.48538951958469e-34,1
0,3.47205170085853e-242,7.74220937870766e-272,1
0,1,7.03885928116385e-70,1.5952980469768e-77
0,4.14464286952267e-226,3.0082490935773e-263,1
0,1,2.76777965668165e-69,2.77792553152802e-77
0,1.23513091339172e-316,1.49398134335892e-296,1
0,3.4733129066681e-242,7.745374892792e-272,1
0,1,7.05415842293246e-70,1.60275250479228e-77
0,3.93574410600153e-190,5.01337541399779e-244,1
0,3.45129424577919e-242,7.72061050430629e-272,1
1,3.6024506057547e-91,1.93768806923693e-89,2.96816002552148e-137
0,1,7.03869806403335e-70,1.5952195932982e-77
1,6.83787138989051e-21,1.0373151066715e-20,5.0318589225245e-17
0,3.47374502988558e-242,7.74645951672213e-272,1
1,6.8462124863192e-21,1.03855254440799e-20,5.04236420157844e-17
7.80285810505087e-194,1.57910793656897e-229,2.57219166349584e-134,1
0,3.47205170085853e-242,7.74220937870766e-272,1
