Brand,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugar,Potassium
ACCheerios,110,2.1,2.1,180,1.5,10.5,10,70
Cheerios,110,5.5,2,290,2,17,1,105
CocoaPuffs,110,0.9,1,180,0,12,13,55
CountChocula,110,0.9,1,180,0,12,13,65
GoldenGrahams,110,1,0.8,280,0,15,9,45
HoneyNutCheerios,110,2.8,1.5,250,1.5,11.5,10,90
Kix,110,1.95,1,260,0,21,3,40
LuckyCharms,110,1.85,0.9,180,0,12,12,55
MultiGrainCheerios,100,2.15,1,220,2,15,6,90
OatmealRaisinCrisp,130,2.85,2.5,170,1.5,13.5,10,120
RaisinNutBran,100,2.9,2,140,2.5,10.5,8,140
TotalCornFlakes,110,1.95,0.7,200,0,21,3,35
TotalRaisinBran,140,3.1,1.8,190,4,15,14,230
TotalWholeGrain,100,3,0.7,200,3,16,3,110
Trix,110,1.25,1.25,140,0,13,12,25
Cheaties,100,2.6,1.05,200,3,17,3,110
WheatiesHoneyGold,110,2.1,0.52,200,1,16,8,60 
AllBran,70,3.95,1,260,9,7,5,320
AppleJacks,110,2.15,0,125,1,11,14,30
CornFlakes,100,2,0,290,1,21,2,35
CornPops,110,0.9,0,90,1,13,12,20
CracklinOatBran,110,2.82,2.5,140,4,10,7,160
Crispix,110,1.9,0,220,1,21,3,30
FrootLoops,110,1.88,1.5,125,1,11,13,30
FrostedFlakes,110,0.95,0,200,1,14,11,25
FrostedMiniWheats,100,3.12,0,0,3,14,7,100
FruitfulBran,120,3,0,240,5,14,12,190
JustRightCrunchyNuggets,110,2.5,1.5,170,1,17,6,60
MueslixCrispyBlend,160,3,2.5,150,3,17,13,160
NutNHoneyCrunch,120,1.4,1.5,190,0,15,9,40
NutriGrainAlmondRaisin,140,2.5,2,220,3,21,7,130
NutriGrainWheat,90,2.78,0,170,3,18,2,90
Product19,100,3.15,0,320,1,20,3,45
RaisinBran,120,3,1.25,210,5,14,12,240
RiceKrispies,110,2,0,290,0,22,3,35
Smacks,110,1.56,1,70,1,9,15,40
SpecialK,110,5.55,0,230,1,16,3,55
CapNCrunch,120,0.5,2.5,220,0,12,12,35
HoneyGrahamOhs,120,0.88,2,220,1,12,11,45
Life,100,3.32,2,150,2,12,6,95
PuffedRice,50,1,0,0,0,13,0,15
PuffedWheat,44,2,0.1,0,0.5,10,0,42
QuakerOatmealfrut,135,2.8,2.6,178,2,26.2,10.9,99
QuakerOatmealraisens,137,3.26,2.58,190,3,26.79,11,130
CerealsCornYellow,107,1.51,1.12,142,3.1,23.94,2.58,88
USCommodityCornRice,110,1.76,0.31,30,1.3,33.5,6.5,30
RALSTONEnrichedWheat,130,4.29,2.56,56,3.2,25.4,7.5,34
CerealCheerios,120,2,1,33,4.2,3.78,3.5,78
QUAKER2,162,3.46,1.07,123,0.5,34.93,12,87
CreamOfWheat,130,4.62,0.88,77,2,25.29,5.5,62
