,Surrey,Shropshire,Yorkshire,Perthshire,Aberdeen,Elean Gamhna,Alps,Yugoslavia,Germany,Norway,Pyrenees I,Pyrenees II,North Spain,South Spain
Surrey,0,,,,,,,,,,,,,
Shropshire,0.099,0,,,,,,,,,,,,
Yorkshire,0.033,0.022,0,,,,,,,,,,,
Perthshire,0.183,0.114,0.042,0,,,,,,,,,,
Aberdeen,0.148,0.224,0.059,0.068,0,,,,,,,,,
Elean Gamhna,0.198,0.039,0.053,0.085,0.051,0,,,,,,,,
Alps,0.462,0.266,0.322,0.435,0.268,0.025,0,,,,,,,
Yugoslavia,0.628,0.442,0.444,0.406,0.24,0.129,0.014,0,,,,,,
Germany,0.113,0.07,0.046,0.047,0.034,0.002,0.106,0.129,0,,,,,
Norway,0.173,0.119,0.162,0.331,0.177,0.039,0.089,0.237,0.071,0,,,,
Pyrenees I,0.434,0.419,0.339,0.505,0.469,0.39,0.315,0.349,0.151,0.43,0,,,
Pyrenees II,0.762,0.633,0.781,0.7,0.758,0.625,0.469,0.618,0.44,0.538,0.607,0,,
North Spain,0.53,0.389,0.482,0.579,0.597,0.498,0.374,0.562,0.247,0.383,0.387,0.084,0,
South Spain,0.586,0.435,0.55,0.53,0.552,0.509,0.369,0.471,0.234,0.346,0.456,0.09,0.038,0
